Cliente;Vendedor;CNPJ;Grupo Economico
J D FERNANDES & FILHOS LTDA - VILA MATIAS;JOSE SOARES;01325134000226;J D FERNANDES
BABALOO - MINIMERCADO E PADARIA BABALOO LTDA - MARAPE;JOSE SOARES;67332619000174;BABALOO
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 18;NILCEIA AP DE SOUZA;60437647000530;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 18;NILCEIA AP DE SOUZA;60437647000530;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 18;NILCEIA AP DE SOUZA;60437647000530;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 18;NILCEIA AP DE SOUZA;60437647000530;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 18;NILCEIA AP DE SOUZA;60437647000530;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 19;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000700;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 19;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000700;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 19;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000700;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 19;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000700;BARBOSA
SILVA & FERREIRA MINIMERCADO LTDA;JOSE SOARES;53568960000119;ARMAZEM CAMOES
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 21;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000883;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 21;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000883;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 21;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647000883;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 23;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647001006;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 23;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647001006;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 23;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647001006;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 23;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647001006;BARBOSA
BOLSHOI - K S GOUVEA & GOUVEIA LTDA - SENADOR;JOSE SOARES;03799810000148;BOLSHOI
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 25;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647003475;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 25;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647003475;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 25;RODOLFO QUERINO LUIZ - GERENTE DE AREA;60437647003475;BARBOSA
BOLSHOI MERCADO GOURMET LTDA;JOSE SOARES;15107181000127;BOLSHOI
BOLSHOI MERCADO GOURMET LTDA;JOSE SOARES;15107181000127;BOLSHOI
ESPERANCA - ATACADO E AUTO SERVICO ESPERANCA LTDA - 09;DANIEL CAMACHO;05264937000945;ESPERANCA
J. S. NEGOCIOS REPRESENTACOES DE ALIMENTOS E MERCADORIAS EM;JOSE SOARES;17469408000100;REPRESENTANTES DA TERRINHA
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
FR BOLDRINA SUPERMERCADO LTDA;MARCELO GREGORIO;00210531000109;SERV LAR
SUPERMERCADO IVONE TANABI LTDA  - 01;TELEVENDAS - DA TERRINHA;07436410000129;IVONE
SUPERMERCADO IVONE TANABI LTDA  - 01;TELEVENDAS - DA TERRINHA;07436410000129;IVONE
SUPERMERCADO IVONE TANABI LTDA  - 01;TELEVENDAS - DA TERRINHA;07436410000129;IVONE
BENASSI - IMPORTAO E EXPORTAO LTDA - SP 02;VENDEDOR INTERNO;04052176000229;BENASSI - SP
BENASSI - IMPORTAO E EXPORTAO LTDA - SP 02;VENDEDOR INTERNO;04052176000229;BENASSI - SP
BENASSI - IMPORTAO E EXPORTAO LTDA - SP 02;VENDEDOR INTERNO;04052176000229;BENASSI - SP
BENASSI - IMPORTAO E EXPORTAO LTDA - SP 02;VENDEDOR INTERNO;04052176000229;BENASSI - SP
SONDA SUPERMERCADOS EXP E IMP LTDA - FREGUESIA;ANGELA MARIA;01937635000182;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - FREGUESIA;ANGELA MARIA;01937635000182;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000778;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000506;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000506;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000506;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - 08;ANGELA MARIA;01937635000697;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - 08;ANGELA MARIA;01937635000697;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - 08;ANGELA MARIA;01937635000697;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000930;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000930;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;01937635000930;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - 10;ANGELA MARIA;01937635000859;SONDA
SONDA SUPERMERCADOS EXP E IMP LTDA - 10;ANGELA MARIA;01937635000859;SONDA
