Data Emissao;Grupo Economico;Cliente;Numero Pedido;Valor Pedido;Pedidos Em Aberto;Qtde Pedido;Preco Pedido;Data Agendamento
08/06/2026;VISALIA;GLEZ IMPORTACAO E EXPORTACAO LDA;1003828;130.8;1;1;130.8;Entrega Direta
15/07/2026;PLATLOG (MANIA CHURRASCO);COMFRIO NOVO CD MANIA DE CHURRASCO;1038369;5868;1;60;97.8;08/09/2026
21/07/2026;CARREFOUR;CARREFOUR MERCEARIA;1040028;108252.6;1;1469;73.691354663;Aguardando Agendamento
23/07/2026;CARREFOUR;CARREFOUR MERCEARIA;1041033;167390.92;1;2406;69.5722859518;Aguardando Agendamento
23/07/2026;CARREFOUR;CARREFOUR MERCEARIA;1041037;93545.2;1;1652;56.6254237288;Aguardando Agendamento
23/07/2026;CARREFOUR;CARREFOUR MERCEARIA;1041039;176340.524;1;2272;77.6146672535;Aguardando Agendamento
24/07/2026;ASSAI - SP LOJAS;ASSAI - 112;1041416;6694.8;1;95;70.4715789474;04/09/2026
28/07/2026;ASSAI - SP LOJAS;ASSAI - 112;1042763;2250;1;26;86.5384615385;04/09/2026
04/08/2026;ASSAI - SP LOJAS;ASSAI - 112;1045841;739.2;1;16;46.2;04/09/2026
05/08/2026;TIPIOG GMBH;TIPIOG GMBH;1046549;17100;1;180;95;Entrega Direta
06/08/2026;MC IRLANDA;M & C HEALTHCARE;1046912;139318;1;1380;100.9550724638;Entrega Direta
07/08/2026;MERCANTIL VILLACARRIEDO;MERCANTIL VILLACARRIEDO;1047144;169000;1;26;6500;Entrega Direta
10/08/2026;MONTANA S.A.;MONTANA S A;1048045;96840;1;1380;70.1739130435;Entrega Direta
10/08/2026;OXXO - CD;OXXO - CAJAMAR;1047941;52315.14;1;416;125.7575480769;18/09/2026
11/08/2026;DO RANCHO;DO RANCHO;1048354;137706;1;1621;84.9512646514;Entrega Direta
14/08/2026;PARANA TRADING COMERCIO;PARANA TRADING - SP;1049905;19127.52;1;162;118.0711111111;Entrega Direta
17/08/2026;CARREFOUR;CARREFOUR - SP CD;1050627;39240;1;300;130.8;14/09/2026
17/08/2026;CARREFOUR;CARREFOUR - SP CD;1050629;84420;1;670;126;14/09/2026
17/08/2026;CELER GLOBAL TRADING LTDA;CELER GLOBAL TRADING;1050531;90736.8;1;770;117.84;Entrega Direta
17/08/2026;MUFFATO - CD;HIPER MUFFATO;1050732;6789.6;1;82;82.8;Aguardando Agendamento
18/08/2026;ATACADAO - SP LOJAS;ATACADAO BARUERI - LJ 655;1051416;23619.76;1;336;70.2969047619;04/09/2026
18/08/2026;ATACADAO - SP LOJAS;ATACADAO BOTUCATU - LJ 645;1051350;986.4;1;17;58.0235294118;02/09/2026
