Numero Pedido;Data Agendamento;Cliente
1054331;30/09/2026;ASSAI - 48
1054349;30/09/2026;ASSAI - 64
1054365;24/09/2026;ASSAI - 144
1054391;30/09/2026;ASSAI - 93
1054488;21/08/2026;ASSAI - 08
1055473;24/09/2026;VILA NOVA CAMPINAS
1055475;28/09/2026;VILA NOVA OSASCO
1055603;29/09/2026;VILA NOVA OSASCO
1055604;28/09/2026;VILA NOVA CAMPINAS
1056177;24/09/2026;ASSAI - 312
1056178;29/09/2026;ASSAI - 121
1056180;07/10/2026;ASSAI - 168
1056186;28/09/2026;ASSAI - 130
1056190;29/09/2026;ASSAI - 237
1056193;25/09/2026;ASSAI - 24
1056198;25/09/2026;ASSAI - 173
1056199;30/09/2026;ASSAI - 263
1056205;29/09/2026;ASSAI - 200
1056206;30/09/2026;ASSAI - 39
1056449;29/09/2026;ASSAI - 48
1057157;28/09/2026;ASSAI 161 - JARDIM ROSINA
1057163;23/09/2026;ASSAI - 39
1057167;30/09/2026;ASSAI - 93
1057168;28/09/2026;ASSAI - 126
1057173;28/09/2026;ASSAI - 130
1057174;25/09/2026;ASSAI - 08
1057185;29/09/2026;ASSAI - 237
1057187;30/09/2026;ASSAI - 31
1057200;07/10/2026;ASSAI - 144
1057207;30/09/2026;ASSAI - 64
1057210;25/09/2026;ASSAI - 24
1057213;30/09/2026;ASSAI - 03
1057217;24/09/2026;ASSAI - 96
1057235;30/09/2026;ASSAI - 02
1057237;24/09/2026;ASSAI - 22
1057242;25/09/2026;ASSAI - 17
1057246;29/09/2026;ASSAI - 200
1057251;07/10/2026;ASSAI - 165
1057257;29/09/2026;ASSAI - 48
1057586;24/09/2026;ASSAI - 93
1057592;25/09/2026;ASSAI - 165
1057602;28/09/2026;ASSAI - 96
1057604;30/09/2026;ASSAI - 144
1057609;23/09/2026;ASSAI - 64
1057619;30/09/2026;ASSAI - 48
1057626;24/09/2026;ASSAI - 126
1057658;25/09/2026;ASSAI - 165
1057671;24/09/2026;ASSAI - 93
1057685;30/09/2026;ASSAI - 48
1057691;30/09/2026;ASSAI - 144
1057696;24/09/2026;ASSAI - 126
1057697;28/09/2026;ASSAI - 96
1057699;28/09/2026;ASSAI 161 - JARDIM ROSINA
1057706;23/09/2026;ASSAI - 64
1057983;28/09/2026;ASSAI - 270
1058283;24/09/2026;COMFRIO NOVO CD MANIA DE CHURRASCO
1058287;24/09/2026;GRUPO CHAMA - CD
1058377;06/10/2026;GRUPO CHAMA - CD
1058378;24/09/2026;GRUPO CHAMA - CD
1058752;24/09/2026;GRUPO CHAMA - CD
1058821;24/09/2026;CD BOA NOVO
1058822;25/09/2026;CD BOA NOVO
1059379;03/10/2026;ATACADAO BARUERI - LJ 655
1059389;25/09/2026;CD JACAREI - LJ 183
1059390;25/09/2026;ATACADAO SAO J RIO PRETO AMERICA - LJ 949
1059684;25/09/2026;ATACADAO SANTO ANDRE CENTRO - LJ 615
1059696;01/10/2026;ATACADAO SAO J RIO PRETO FALAVINA - LJ 944
1059726;01/10/2026;ATACADAO RIBEIRAO PIRES - LJ 678
1059727;05/10/2026;ATACADAO MAUA JOAO RAMALHO - LJ 676
1059747;01/10/2026;ATACADAO GUARULHOS AEROPORTO - LJ 617
1061579;30/09/2026;ROSSI - VILA CISPER
1061604;30/09/2026;ROSSI - OSASCO
1061618;25/09/2026;ROSSI - GUAIANAZES II
1061660;07/10/2026;CD JACAREI - LJ 183
1061661;01/10/2026;CD JACAREI - LJ 183
1061663;01/10/2026;CD JACAREI - LJ 183
1061664;01/10/2026;CD JACAREI - LJ 183
1061668;01/10/2026;CD JACAREI - LJ 183
1061669;02/10/2026;CD JACAREI - LJ 183
1061676;02/10/2026;CD JACAREI - LJ 183
1061677;01/10/2026;CD JACAREI - LJ 183
1061720;02/10/2026;CD JACAREI - LJ 183
1061750;02/10/2026;CD BOA NOVO
1061751;25/09/2026;CD BOA NOVO
1061847;28/09/2026;ROSSI - VILA CISPER
1061852;30/09/2026;ROSSI - OSASCO
1061855;30/09/2026;ROSSI - GUAIANAZES II
1062211;28/09/2026;CD JACAREI - LJ 183
1062219;03/10/2026;CD JACAREI - LJ 183
1062239;03/10/2026;CARREFOUR MERCEARIA DF
1062310;25/09/2026;IRMAOS MUFFATO - MAX LAPA
1062345;29/09/2026;IRMAOS MUFFATO - MAX MOGI
1062356;25/09/2026;IRMAOS MUFFATO - MAX SAO BERNARDO
1062495;03/10/2026;CD BOA NOVO
1062997;01/10/2026;HIROTA EXPRESS - CD CEAGESP
1063000;25/09/2026;CARREFOUR MERCEARIA
1063129;01/10/2026;OXXO - CAJAMAR
1063437;20/10/2026;ALIANZA COMERCIO
1063617;24/09/2026;ROLDAO - TIRADENTES
1064396;24/09/2026;CARREFOUR MERCEARIA
1064525;24/09/2026;OGGI SORVETES
1064578;24/09/2026;HIROKI ALIMENTOS
1064773;24/09/2026;SUPERMERCADO MELISSA
1064774;23/09/2026;SUPERMERCADO MELISSA
1064882;23/09/2026;XIANGXIANG
1064893;23/09/2026;XIANGXIANG
1064979;24/09/2026;ROLDAO - TIRADENTES
1065005;23/09/2026;BARBOSA - 43
1065058;23/09/2026;ROLDAO - TIRADENTES
1065228;23/09/2026;NOVAA COMERCIO DE ALIMENTOS
1065282;24/09/2026;MEGA G ALIMENTOS
1065298;23/09/2026;JOANIN  - MATRIZ
1065304;24/09/2026;AYUMI - 01
1065314;23/09/2026;JOANIN  - MATRIZ
1065319;23/09/2026;AYUMI - 01
1065323;28/09/2026;MERCADO ALIANCA - 01
1065350;23/09/2026;AYUMI - 01
1065364;28/09/2026;SUPERMERCADOS MUNDIAL - CD
1065438;23/09/2026;REDE X - 04
1065443;24/09/2026;REDE X - 03
1065446;23/09/2026;REDE X - 08
1065451;23/09/2026;REDE X - 08
1065456;24/09/2026;REDE X - 15
1065458;23/09/2026;REDE X - 03
1065468;23/09/2026;REDE X - 08
1065470;23/09/2026;REDE X - 04
1065471;24/09/2026;REDE X - 22
1065486;23/09/2026;REDE X - 08
1065488;23/09/2026;REDE X - 04
1065489;23/09/2026;REDE X - 03
1065923;24/09/2026;CARREFOUR - SP CD
1065924;01/10/2026;CARREFOUR - SP CD
1065952;25/09/2026;MERCADO NOVA GERACAO - JARDIM SAO PAULO
1065975;23/09/2026;NAGUMO - AGUA CHATA CD
1065987;23/09/2026;JOANIN  - MATRIZ
1066005;23/09/2026;FONTE NOVA - 13
1066009;23/09/2026;DISTRIBUIDORA BICA DE PEDRA
1066052;23/09/2026;MAMA - MERCADO ARRUEIRAS
1066057;23/09/2026;MAMA - MERCADO ARRUEIRAS
1066072;01/10/2026;MAIS DISTRIBUIDORA
1066077;24/09/2026;CARINHOSO SUPERMERCADO
1066084;23/09/2026;MERCADO RAINHA
1066090;25/09/2026;MAIS DISTRIBUIDORA
1066091;23/09/2026;JOANIN  - MATRIZ
1066108;23/09/2026;MERCADINHO KI PRECO  - LJ 2
1066113;23/09/2026;AKKI - 04
1066116;23/09/2026;AKKI - 08
1066170;23/09/2026;DISCAMP - CAMPINAS 02
1066172;23/09/2026;ANDORINHA
1066177;23/09/2026;DISCAMP - CAMPINAS 01
1066412;23/09/2026;DANTAS
1066417;23/09/2026;DANTAS
1066420;23/09/2026;DANTAS
